entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 1
Dungeon Quest LTLF: F(sword) & (!sword U key)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cbe0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cc18>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 1000000
LTLF: F(sword) & (!sword U key)
============================================


Starting training at: 2024-07-23 22:23:07
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2b171000cb70>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(13,)
Automaton Num States: 4
Action Space: Box(1,)
input shape: (13,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (13,)
input shape: (13,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Completed Steps:    71000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    72000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    73000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    74000 || Avg Steps:  990 || Avg Rew: -0.097
Completed Steps:    75000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    76000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:    77000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    78000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:    79000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:    80000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:    81000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:    82000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    83000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:    84000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:    85000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:    86000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    87000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    88000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    89000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    90000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    91000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    92000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    93000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    94000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:    95000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    96000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:    97000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    98000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:    99000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:   100000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:   101000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:   102000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:   103000 || Avg Steps: 1000 || Avg Rew: -0.097
Completed Steps:   104000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   105000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   106000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   107000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   108000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   109000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   110000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   111000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   112000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   113000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   114000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   115000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   116000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   117000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   118000 || Avg Steps: 1000 || Avg Rew: -0.098
Completed Steps:   119000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   120000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   121000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   122000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   123000 || Avg Steps:  990 || Avg Rew: -0.100
